Z,S
1,6.56659
2,6.61193
3,7.69826
4,7.81405
5,8.11135
6,8.26260
7,8.35103
8,8.41791
9,8.46215
10,8.49221
11,8.81319
12,8.91038
13,9.06497
14,9.15294
15,9.20767
16,9.24871
17,9.27418
18,9.28924
19,9.47419
20,9.54334
21,9.60143
22,9.64548
23,9.68229
24,9.70724
25,9.73945
26,9.76478
27,9.78613
28,9.71120
29,9.81401
30,9.83493
31,9.89832
32,9.93896
33,9.96808
34,9.99276
35,10.01020
36,10.02240
37,10.12060
38,10.16370
39,10.20480
40,10.23520
41,10.25720
42,10.27350
43,10.29840
44,10.30610
45,10.31840
46,10.29390
47,10.33740
48,10.35740
49,10.40080
50,10.43000
51,10.45170
52,10.47060
53,10.48490
54,10.49600
